"text","size","pos","neg"
"waste_time_money",-7.51293329930187,2,62
"camera",-7.50525057649938,516,699
"bad_script",-7.50090849207425,4,71
"not_that",-7.49981564861968,178,325
"insulting",-7.48328555286431,17,94
"tries_to_be",-7.47365415940199,13,85
"couldn't_even",-7.46701513478291,10,79
"not_very",-7.45896478154685,116,249
"poor_acting",-7.45470353997133,4,65
"doesn't_work",-7.44893575659779,27,114
"acting_horrible",-7.44756654934617,1,58
"thin",-7.44716008587868,84,229
"absolutely_nothing",-7.44098232787035,25,117
"whole_movie",-7.43224290400674,115,240
"useless",-7.41132069826628,22,99
"cardboard",-7.39552597461819,17,99
"tries",-7.39536609167221,406,586
"not_enough",-7.39377682595013,64,188
"kill",-7.39347342611717,305,528
"if_had",-7.38592237709529,144,281
"no_redeeming",-7.38589196519066,6,70
"good_thing_about",-7.38130388709452,5,68
"nonsense",-7.36868701914084,73,185
"laugh_at",-7.36251244027214,60,169
"probably_worst",-7.35057711821849,4,64
"how_did",-7.34772308666589,30,112
"save_money",-7.3298377088088,2,59
"wasting_time",-7.31942061246755,6,69
"unintentionally",-7.31552927617829,23,103
"pitiful",-7.30271860993925,8,72
"ugly",-7.29361909871697,81,199
"plot_holes",-7.29240213031103,31,122
"money_back",-7.28434663060119,4,64
"ludicrous",-7.26541667808926,32,130
"wanted_to",-7.26284335754556,309,515
"shoddy",-7.25549265739362,6,69
"horrible_movie",-7.25536998120551,4,62
"looking",-7.2507170910972,872,1119
"sat",-7.25025798579666,82,203
"renting",-7.24391676269944,49,157
"any_sense",-7.24336459912428,30,116
"so_bad_it's_good",-7.23484743687235,10,77
"bad_it's_good",-7.23484743687235,10,77
"nothing_more_than",-7.23313483213207,47,139
"worst_movies_ever_seen",-7.23076937095434,0,52
"20_minutes",-7.22200050453579,38,128
"like_plague",-7.22091283442534,1,54
"tripe",-7.22035199113138,8,78
"sex",-7.20449463359537,403,565
"about_as",-7.2041671185919,75,194
"suck",-7.20084082914599,31,123
"i'm_not",-7.187212246078,293,506
"what_thinking",-7.18632790444475,5,64
"like_watching",-7.17108677759625,44,142
"avoid_like",-7.16080672697223,0,51
"waste_time_with",-7.15568563664277,0,51
"care_about",-7.14983972016318,89,195
"entire_movie",-7.14428229161763,60,161
"movie_so",-7.14207262284956,194,355
"bad_enough",-7.12695715048707,7,72
"complete_waste_time",-7.12238213833614,2,56
"very_disappointed",-7.11892028731832,14,82
"had",-7.11333163369715,2316,2750
"blame",-7.10865152681505,76,189
"clichés",-7.1074886160803,73,195
"possibly_worst",-7.10059032381096,2,56
"horrible_acting",-7.10059032381096,2,56
"moronic",-7.0944607020477,5,62
"worst_movies_i've",-7.09016850984998,0,50
"what_point",-7.07233535249904,5,67
"dimensional",-7.06982435544204,65,172
"sorry_but",-7.068683041347,10,80
"like_bad",-7.05139316985587,9,72
"unnecessary",-7.05043414200598,81,185
"some",-7.04050404682084,2921,3137
"writing",-7.03657182214351,429,633
"somebody",-7.02952152348449,68,172
"seemed_to",-7.01127380488803,180,299
"below_average",-7.00885611987993,4,59
"downhill",-7.00324561171352,13,80
"do_not_watch",-7.00317420043549,7,66
"continuity",-6.99759533662783,45,141
"makers",-6.99690198004398,111,253
"very_poor",-6.99655766517743,14,82
"abysmal",-6.99630418319115,11,81
"little_to",-6.9935954579734,66,159
"hype",-6.99356287547614,27,99
"didn't_even",-6.9935588055246,52,152
"running_around",-6.99192237080148,17,85
"in_first_place",-6.99099460720811,60,161
"30_minutes",-6.98942680621797,28,110
"walked_out",-6.98898139188375,17,86
"such_bad",-6.9667317921432,8,75
"wonder",-6.96309348401808,351,569
"nothing_in",-6.96249541415929,24,99
"might",-6.9624269524215,854,1172
"obnoxious",-6.95134245214245,37,117
"movie_could",-6.95093930353255,65,171
"skip",-6.94840557274156,48,185
"come_up_with",-6.94577693837931,56,149
"grade",-6.9428356358833,144,287
"killed",-6.9413975866421,316,483
"bad_acting_bad",-6.94033370200432,3,58
"not_scary",-6.93869468448503,4,58
"complete",-6.93113719118827,344,548
"turkey",-6.91307525389176,32,146
"reason_to",-6.91145213310574,83,197
"i've_ever",-6.9112067395455,214,362
"trite",-6.91050662339589,25,100
"movie_sucks",-6.90415534548527,1,52
"first_place",-6.90083540227229,60,163
"just_doesn't",-6.89509324040425,41,128
"not_watch",-6.89329209556079,23,96
"acting_poor",-6.88548045998202,2,53
"terrible_film",-6.88548045998202,2,53
"nothing_to_do",-6.88281948985107,51,140
"monster",-6.8774749048258,129,199
"explained",-6.87743590132036,71,174
"try",-6.86885173686486,629,840
"more_like",-6.86491279129934,126,257
"there_absolutely",-6.85811766768779,16,84
"screaming",-6.85781714379262,62,151
"why_would",-6.85293672488694,41,121
"at_best",-6.84888019339823,134,266
"ashamed",-6.83503189229359,27,103
"wanted",-6.82603849868253,428,645
"even_worth",-6.81231955233302,2,52
"explanation",-6.80908744175874,79,187
"unoriginal",-6.79787012128948,11,82
"most_boring",-6.79642550783169,4,56
"movie_worst",-6.79451260343067,0,46
"lacked",-6.78810142024345,28,101
"actors",-6.78522145708365,1347,1674
"miscast",-6.77517563766232,27,99
"do_not_waste",-6.76516697271245,1,48
"worst_films_ever",-6.76516697271245,1,48
"do_not",-6.75248618247864,368,554
"fails_miserably",-6.74334165995215,7,63
"wasted_time",-6.74256940158276,0,45
"f",-6.74147894065645,101,191
"stay_away_from",-6.73597504610622,18,84
"isn't_even",-6.73498797667921,19,87
"bother_to",-6.73276245385307,13,71
"should_never",-6.7274815194161,18,86
"save_yourself",-6.72386483990306,1,48
"movie_awful",-6.72386483990306,1,48
"attempt_to",-6.72281897881793,158,302
"walking_around",-6.71932800996343,3,53
"would_not_recommend",-6.71932800996343,3,53
"do_with",-6.71240653412854,214,354
"bother_with",-6.68001619243678,5,58
"whatever",-6.67933383521094,234,397
"15_minutes",-6.6778185196235,28,105
"porno",-6.67228203656719,10,67
"too_bad",-6.67214022567571,134,260
"killer",-6.66925110301523,263,341
"not_waste_time",-6.66577959678802,1,47
"there's_no",-6.66448721961405,120,225
"terribly",-6.66269531478326,76,181
"good_idea",-6.65278967981225,33,120
"grade_d",-6.64867713373078,1,47
"potential",-6.64757203103641,172,319
"only_good_thing_about",-6.64463350606903,0,44
"worst_movie_i've_ever",-6.64463350606903,0,44
"that_would",-6.64411410010739,358,589
"halfway",-6.63007610302651,35,136
"suppose",-6.62906089757024,123,248
"unintentional",-6.61843279003304,17,85
"cash_in",-6.61374604460445,10,67
"so_boring",-6.61155385426561,2,48
"want",-6.60400724347195,1101,1479
"enough_to",-6.60078625760481,396,572
"they're",-6.60015239715762,366,538
"weren't",-6.59883612171679,148,278
"please",-6.59638820889972,298,483
"redeeming_qualities",-6.58054416308852,8,63
"so_awful",-6.57788421150838,4,53
"warn",-6.57736825424286,26,102
"even_worse_than",-6.57264727625542,1,46
"poorly_done",-6.57056261538446,3,51
"total_waste",-6.56842996826205,0,43
"easily_worst",-6.56842996826205,0,43
"no_story",-6.5633841695331,10,68
"felt_like",-6.55161028100821,67,167
"dreck",-6.55028386473972,5,59
"editing",-6.53452991363287,227,410
"bad_bad",-6.53284882923437,3,36
"very_little",-6.53012823536904,95,207
"sub_par",-6.5293937202034,11,69
"awful_acting",-6.51610959452494,0,42
"out",-6.51451085959778,3204,3446
"90",-6.51375477048056,137,284
"explain",-6.51181826672131,144,259
"just_terrible",-6.51175449374739,2,48
"disgusting",-6.50260506031004,43,128
"below",-6.50073781053392,76,182
"ruined",-6.49776035092628,48,133
"only_saving",-6.49574606687111,1,45
"yawn",-6.49060722119271,3,62
"doesn't_make",-6.48569863717349,57,148
"hour_half",-6.48386325391317,41,118
"producers",-6.47897736220239,152,301
"disaster",-6.47002240886629,72,187
"just_stupid",-6.46227153708207,2,47
"problem_with",-6.46084295629434,114,228
"olds",-6.46012978327515,11,67
"movie_nothing",-6.4594111348371,13,72
"dude",-6.45657565309672,49,114
"t",-6.44508720676913,116,244
"piece_trash",-6.43449935914961,2,47
"come_up",-6.43308380990434,74,168
"b_movie",-6.43065326750156,73,164
"don't_watch",-6.42710299824984,54,145
"that_supposed_to_be",-6.41666781691318,4,52
"unless_want",-6.41334471359021,0,41
"been_good",-6.40013716608737,18,80
"be_comedy",-6.3987425324138,4,58
"sitting_through",-6.39823099510617,12,70
"year_olds",-6.39082207314118,11,66
"five_minutes",-6.38856848423426,40,130
"mystery_science_theater",-6.38366431780973,3,48
"waste_time_on",-6.38287055252308,3,49
"sitting",-6.38274105400924,135,257
"badly_written",-6.38180126799558,4,51
"wanted_to_like",-6.38180126799558,4,51
"hated",-6.3762627905143,76,171
"to_write",-6.37421671379194,95,202
"jokes",-6.37333885122312,226,390
"alright",-6.37257561289441,33,92
"plan_9",-6.36591812646712,5,54
"worst_thing",-6.35972142900532,9,63
"killing",-6.35824234698131,179,330
"you'd",-6.35486884418303,111,214
"possibly",-6.34521270232692,234,377
"idiot",-6.34454255896217,46,124
"waste_film",-6.33920408117862,1,43
"0_10",-6.33920408117862,1,43
"but_script",-6.33580873891607,10,64
"worst_film_i've",-6.33439742103736,0,40
"first_off",-6.33392796372644,37,113
"camcorder",-6.32689516415538,5,52
"watching_movie",-6.32022074284693,154,287
"didn't_work",-6.31901023722332,12,67
"otherwise",-6.31671227245388,232,383
"idiots",-6.31437674422049,27,94
"thing_about",-6.31322017032449,117,225
"seems",-6.31137655253635,977,1319
"what's",-6.3067575789252,240,400
"to_video",-6.30521260177043,45,137
"not_worst",-6.30398908161137,7,57
"to_be_comedy",-6.3026502317486,2,52
"there_absolutely_no",-6.30238013031864,8,60
"biggest_problem",-6.30238013031864,8,60
"laugh",-6.30171600613432,480,645
"sake",-6.29928376360398,61,146
"so_called",-6.29011473851762,75,158
"thing_that",-6.28933094762521,220,377
"paper",-6.28899985063417,65,176
"say",-6.28447983331217,1589,1955
"how_not_to",-6.27950567513734,1,42
"acting_awful",-6.27950567513734,1,42
"scary",-6.27725764480437,248,379
"but_at_least",-6.27511392377571,45,119
"kidding",-6.2725661588215,17,83
"ok_but",-6.27187957991003,19,80
"turd",-6.26973760307041,5,54
"be_ashamed",-6.2682440723604,6,54
"bothered",-6.26564029250951,47,130
"time_on",-6.26338754049776,58,144
"potential_but",-6.25949574915479,1,42
"van",-6.25107486421083,114,168
"money_to",-6.25064423300772,69,158
"apparent_reason",-6.25054502463478,11,64
"but_fails",-6.24725813219191,7,57
"hours",-6.24125232149242,315,480
"minute",-6.23371437947084,240,389
"give_1",-6.22757924372047,2,44
"something_like",-6.22712487378835,71,172
"movie_no",-6.22620979152697,36,112
"to_cash",-6.22544781925933,3,47
"stick",-6.21570177456962,150,265
"there's_nothing",-6.21539560858805,42,123
"too_many",-6.2062828717974,161,275
"bad_writing",-6.19858064680832,4,48
"science_theater",-6.19858064680832,4,48
"seems_like",-6.19792693381852,93,200
"saving",-6.19755988873955,79,188
"to_no",-6.19745137107988,53,135
"very_disappointing",-6.1971769530038,2,44
"no_suspense",-6.1971769530038,2,44
"failure",-6.19597134858611,58,146
"b",-6.19537864727937,316,462
"ugh",-6.19512466576791,6,58
"most_annoying",-6.19496368584303,6,54
"pay_to",-6.19271763446678,7,56
"to_care_about",-6.18247439925199,10,61
"stupid_movie",-6.18171458949081,5,56
"worst_i've",-6.18126875922015,0,38
"time_or_money",-6.17878061779058,1,41
"dreary",-6.17100863180363,18,75
"in_entire",-6.16426253007764,30,109
"start_with",-6.15632136732664,29,95
"not_very_good",-6.14918464430635,16,71
"should_be_ashamed",-6.1474755017872,2,43
"paint",-6.14623842598752,37,117
"zombies",-6.14589505805206,31,105
"to_cash_in",-6.14531470682264,3,46
"kind",-6.13803056516693,871,1082
"aren't",-6.13635220210309,304,458
"bore",-6.1341590345394,46,128
"absurd",-6.13410683049351,75,174
"trying_to_be",-6.12893936561312,28,97
"why_do",-6.12776885003134,32,101
"that_looks",-6.12331466007132,26,88
"funny_at_all",-6.12210524211187,3,47
"so_poorly",-6.11841180253001,5,50
"worst_all",-6.11352484021653,10,61
"lifeless",-6.11118778849378,8,54
"nothing_happens",-6.10973219476836,7,53
"oh_god",-6.10893353453725,14,67
"what's_with",-6.10633926744051,2,42
